"LNG燃料推广以减少排放","全球","船舶排放（SOx, GHG）","建立LNG燃料和加注模拟中心，提供技术服务和培训","韩国船级社（KR）, Transgas Solution (TGS)","未量化"
"电动船舶开发以减少排放","奥斯陆峡湾","卡车运输的CO2排放","使用全电动滚装船替代卡车运输","Kongsberg Maritime, Massterly, ASKO","每年节省5000吨CO2，减少200万公里卡车运输"
"水下噪音缓解","华盛顿州渡轮航线","船舶水下噪音","测量噪音、识别来源、提出缓解措施（如螺旋桨空化控制）","Noise Control Engineering, LLC (NCE), 华盛顿州渡轮（WSF）","未量化"
"轻量化渡轮以减少燃油消耗","马耳他","船舶燃油消耗","建造轻量化、燃油效率高的渡轮","Wight Shipyard Co, One2Three Naval Architects","燃油节省，但未量化"
"LNG动力集装箱船交付","全球航运","船舶排放","使用LNG动力发动机，减少排放","Hyundai Samho Heavy Industries, Eastern Pacific Shipping, CMA CGM","符合IMO排放法规，目标到2025年减少30%排放（从2008年水平）"
"石油泄漏后支持","毛里求斯海岸","Wakashio船舶石油泄漏","提供财政支持、导航安全系统、渔具等","日本政府","未量化"
"疏浚项目用于海岸保护","美国多个海岸","侵蚀、风暴损害","疏浚、海滩滋养、维护航道","Great Lakes Dredge & Dock Corporation","项目价值1.188亿美元，但未量化环境效果"
"渔船非法活动监测","加拉帕戈斯群岛附近","过度捕捞或其他非法活动","监测、报告违规行为","厄瓜多尔武装力量","149艘船关闭卫星系统"
"海上风电支持船设计","美国东海岸","传统船舶排放","使用高效、低排放船舶（FOSS技术）","BAR Technologies, Chartwell Marine, ABS","减少垂直加速度70%，燃油效率节省50%（在15节时）"
"集装箱丢失治理","全球海洋","集装箱丢失（可能含有有害货物）","政府调查、要求定位和恢复集装箱、改进船舶设计","各国政府（如澳大利亚海事安全局）、船东","每年平均丢失1382个集装箱（2008-2019）"
"北极巡逻船交付","加拿大北极","潜在非法活动、污染","巡逻、监视、支持环境任务","加拿大政府, Irving Shipbuilding","船已交付，将增强北极存在"
"太阳能渡船运营","印度喀拉拉邦Vembanad湖","柴油渡船排放","使用太阳能动力渡船","NavAlt Solar & Electric Boats, 喀拉拉邦水运部门","每月运行成本5900卢比 vs 柴油214500卢比；节省超过10万升柴油和280吨CO2 over 3年"
"海洋污染执法","美国水域","船舶非法排放（油、垃圾）","执法、起诉、罚款、合规计划","美国司法部, 海岸警卫队","多个案例罚款（如4000万美元、180万美元等）"
"油 spill 响应研究设施","美国","石油泄漏","测试和开发油 spill 响应技术","Applied Research Associates, Inc. (ARA), Ohmsett 设施","未量化"
"疏浚船火灾导致污染","科珀斯克里斯蒂港","船舶火灾、柴油泄漏","污染响应、移除柴油、 salvage 操作","美国海岸警卫队, 德州土地办公室","移除1600加仑柴油， skimmed 680加仑柴油/水混合物"
"混合动力和零排放船舶技术","全球港口和水道","船舶排放","使用HybriGen系统（混合动力、电池电动、燃料电池）","BAE Systems","节省35%燃料（例如Enhydra船），消除30万吨CO2每年（相当于400万棵树）"
"石油泄漏响应调查","毛里求斯","Wakashio石油泄漏","建议独立调查、改进准备和响应","建议由国际机构调查","未量化"
"石油泄漏影响评估","毛里求斯海岸","Wakashio石油泄漏","清理、但文章主要讨论影响","当地居民、志愿者","泄漏1000吨油，可能几十年恢复"
"石油泄漏导致生物死亡","毛里求斯","Wakashio石油泄漏","清理、但文章主要报告死亡","志愿者、政府","死鳗鱼、海星等；船仍持有2000吨油"
"石油泄漏导致海豚死亡","毛里求斯海滩","Wakashio石油泄漏","调查死因","政府、Greenpeace","20多只海豚死亡"
"船舶排放减少","全球海洋","船舶燃料排放","使用AI监控优化燃料使用,船体涂层,螺旋桨修改,引入甲醇和氢等替代燃料","DFDS公司","目标到2050年实现气候中和,减少45%排放（从2008年水平）"
"海上风电支持船舶减排","欧洲,亚太,美国海岸","船舶燃料排放","使用生物燃料,LNG,氨,氢等替代燃料","船舶所有者和运营商,LQM Petroleum Services","生物燃料减少碳足迹20-30%"
"石油泄漏治理","斯里兰卡东部海岸","火灾受损油轮泄漏","修复泄漏油箱,转移污水,使用拖船监视","斯里兰卡海军,印度海岸警卫队,SMIT Singapore Pte Ltd","泄漏被堵塞,修复进行中"
"支持海上石油产业减排","加拿大纽芬兰和拉布拉多海域","海上石油生产排放","资金用于维护,升级和环境服务","加拿大政府,自然资源部长Seamus O'Regan","资金支持就业和减排,具体效果未量化"
"牡蛎礁恢复","美国新泽西州Navesink River","无","恢复牡蛎种群,清洁水质","NY/NJ Baykeeper","牡蛎开始定居但被移除,风险评估显示低风险"
"海上充电浮标减少排放","海上风电场","船舶燃料排放","测试原型充电浮标,为船舶提供绿色电力","Maersk Supply Service,Ørsted","潜在在5年内减少550万吨CO2"
"石油泄漏索赔","斯里兰卡水域","火灾受损油轮","索赔用于覆盖服务成本","斯里兰卡政府","索赔至少190万美元"
"屏障岛屿恢复","美国路易斯安那州北布雷顿岛","无直接污染","疏浚570万立方码材料,用于海滩,沙丘和沼泽填充","Callan Marine Ltd.,美国鱼类和野生动物服务","项目预计2021年春完成"
"船舶脱碳燃料选择","全球海洋","船舶燃料排放","评估不同燃料如LNG,氨,甲醇,氢等","DNV GL,船东","到2050年碳中性燃料占60-100%"
"水下噪声减少","华盛顿州渡轮航线","船舶水下噪声","测量船舶噪声,识别原因,提出减少噪声方法","Noise Control Engineering,Washington State Ferries","提供信息用于采取措施"
"石油泄漏","斯里兰卡东部海岸","火灾受损油轮泄漏","使用化学分散剂处理浮油","斯里兰卡海军,印度空军","浮油被控制"
"石油泄漏风险评估","斯里兰卡东部海岸","火灾受损油轮","海军称无真实泄漏风险","斯里兰卡海军","无泄漏,火灾被控制"
"石油泄漏预防","斯里兰卡东部海岸","火灾受损油轮","将油轮拖到更远海域","斯里兰卡海军","油轮被拖到50海里外"
"船舶转换减少排放","全球","新造船排放","将LNG船转换为FLNG","Keppel O&M,Golar LNG","节省63,343吨GHG排放"
"新LNG船交付","全球","船舶燃料排放","使用LNG燃料","Sovcomflot,Shell","船队扩展,支持减排"
"新发动机减排","全球","船舶发动机排放","新发动机符合EPA Tier 4标准,使用SCR技术","Mitsubishi Turbocharger and Engine America","符合Tier 4认证"
"石油泄漏治理","斯里兰卡东部海岸","火灾受损油轮","扑灭火灾,拖到更深水域","斯里兰卡海军","火灾被扑灭"
"船舶推进系统电动化","全球","船舶排放","转向电池技术,混合动力和电动推进","船东,制造商如Asahi Tanker,First Harvest Navigation","示例船只实现零排放"
"排放违规罚款","加州港口","船舶辅助发动机排放","罚款用于空气污染控制基金","加州空气资源委员会","罚款253,300美元"
"船舶电池系统安装","墨西哥湾等","船舶燃料排放","安装电池系统,使船舶成为双燃料或三燃料","Harvey Gulf International Marine","拥有最大双燃料和三燃料船队"
"LNG加注船支持减排","日本中部地区","船舶燃料排放","提供LNG燃料","Central LNG Marine Fuel Japan Corporation","支持LNG燃料船增加"
"海上船舶脱碳","全球","海上支持船舶排放","安装电池混合包,连接岸电","Solstad Offshore,Westcon Power & Automation","已实现20%脱碳,目标2050年碳中性"
"欧盟议会投票使船舶为排放付费","欧洲海域","船舶温室气体排放","纳入欧盟碳市场，要求购买碳许可","欧盟议会、欧盟委员会","目标到2050年气候中立"
"满载油轮在斯里兰卡海岸起火","斯里兰卡东海岸","油轮火灾，潜在石油泄漏","派遣飞机和海军船只救援，采取措施防止漏油","斯里兰卡海军、海洋保护局","环境损害评估中"
"OCIMF重组以专注于高风险","全球海洋","海洋污染风险","重组委员会结构，使用风险和方法论，专注于安全、环境","OCIMF","旨在提高安全性和环境保护"
"合作伙伴开发氢动力拖船","欧洲（多瑙河项目）","传统船舶排放","使用氢燃料电池技术","TECO 2030 ASA, AVL List GmbH, Chemgas Shipping B.V.","氢燃料减少排放"
"为世界首个机器人船队提供动力","全球海洋","传统海洋探索操作的环境影响","使用柴油-电动混合动力，减少CO2排放","Volvo Penta, Danfoss Editron, Ocean Infinity","减少CO2排放"
"斯里兰卡对油轮新火灾有更好控制","斯里兰卡海岸","油轮火灾","灭火团队控制火势，部署专家评估环境损害","斯里兰卡海军、海洋环境保护局","火灾被控制"
"集装箱船船体裂缝漏油","美国新泽西州贝永","船体裂缝导致燃料油泄漏","使用围油栏、吸油垫、撇油器系统，转移燃料油","美国海岸警卫队、新泽西州环境保护部、Gallagher Marine Systems","泄漏被控制，但泄漏量未知"
"稀有海豚返回香港","香港珠江河口","渡轮交通噪音和干扰","渡轮交通暂停（由于疫情）","自然发生","海豚数量增加30%"
"日本三家公司开发氨燃料拖船","日本水域","传统船舶排放","使用氨作为燃料，减少CO2排放","NYK, IHI Power Systems, ClassNK","氨燃烧不排放CO2"
"世界最大LNG加注船命名","欧洲北部","传统船舶燃料排放","使用LNG作为船舶燃料，减少排放","Mitsui O.S.K. Lines, Total Marine Fuels Global Solutions","LNG减少温室气体排放"
"国会通过法案支持琼斯法案在海上风能中执行","美国海域","未直接指定","执行琼斯法案，要求使用美国建造、拥有和运营的船舶","美国国会","支持可再生能源开发"
"Nexans Aurora电缆铺设船建造进展","苏格兰海上风电场","未直接指定","建造电缆铺设船，支持海上风能","Ulstein Verft, Nexans","未提供"
"新加坡在海洋脱碳中发挥关键作用","新加坡海域","船舶排放","开发可持续港口基础设施，使用LNG燃料，电气化港口船舶","新加坡政府、港口当局","目标到2040年代碳排放强度减半"
"Terradepth在无人车辆空间的雄心","全球海洋","传统海洋数据收集的环境影响","使用自主混合车辆，减少对表面船的依赖","Terradepth","减少数据收集成本"
"Finnlines新造船项目继续","欧洲海域","船舶排放","使用混合动力，锂离子电池，零排放港口","Finnlines","减少排放"
"MAN获得符合中国新排放规则的发动机订单","中国内陆和沿海","船舶发动机排放","使用符合C1/C2排放规则的发动机","MAN Energy Solutions, CMP","减少PM、NOx等排放"
"也门附近腐烂油轮报告油点","也门红海","油轮腐烂，潜在石油泄漏","联合国计划派遣任务评估和修复，但尚未授权","联合国、沙特阿拉伯","油点被观察"
"Scorpio Bulkers尝试风能寻求回报","全球海上风能","干散货运输排放","投资风能安装船，转向可再生能源","Scorpio Bulkers","减少对煤炭依赖"
"三星氨燃料油轮设计获得LR AIP","全球海洋","传统油轮排放","使用氨作为燃料，减少温室气体排放","Samsung Heavy Industries, Lloyd’s Register, MAN Energy Solutions","目标到2050年减半排放"
"密西西比河船舶航道加深开始","美国密西西比河","航道疏浚可能扰动沉积物","疏浚航道，使用疏浚材料恢复湿地","美国陆军工程兵团、Big River Coalition","恢复1,462英亩湿地，经济效益每年1.27亿美元"
"北极海冰新低标志新气候制度","北极","气候变化导致温室气体排放","未指定","科学家、研究机构","海冰覆盖减少31%，冰量减少三分之二"
"USS Ticonderoga在德州回收","美国德州","船舶废弃","绿色船舶回收，98%材料回收","International Shipbreaking Limited","98%材料回收"
"巴拿马运河招标水管理系统","巴拿马运河","水资源短缺 due to climate variability","实施水管理系统，保证供水","巴拿马运河管理局","当前吃水49英尺，最高 in more than 12 months"
"AI和太阳能自主船Mayflower启动","大西洋","未直接指定","使用自主船收集环境数据，研究气候变化、微塑料污染等","ProMare, IBM","旨在改善理解环境问题"
"Great Lakes赢得Jacksonville港口疏浚合同","美国佛罗里达州Jacksonville","疏浚活动","疏浚航道，遵守环境水质限制，保护物种","Great Lakes Dredge & Dock Corporation","环境合规"
"首个高压SCR系统获得级批准","全球海洋","船舶发动机NOx排放","使用SCR系统减少NOx排放","MAN Energy Solutions, MAKITA Corporation","NOx值低于3.4g/kWh by more than 1g/kWh"
"白令海冬季海冰达到千年最低","白令海","气候变化","未指定","未指定","海冰覆盖新低"
"Metal Shark为R/V OceanXplorer建造定制供应船","全球海洋","未直接指定","用于海洋研究和媒体生产，支持海洋探索","Metal Shark","未提供"
"BHP租用五艘LNG燃料散货船","澳大利亚到中国航线","传统船舶排放","使用LNG燃料，减少GHG排放","BHP, Eastern Pacific Shipping","减少30%以上CO2-e排放 per voyage"
"GLDD CEO采访","美国海岸","疏浚活动","投资新疏浚设备，强调安全环境","Great Lakes Dredge & Dock","未提供具体数据"
"零排放海上风力涡轮机安装船设计",海上风电场,船舶排放,"使用氢燃料电池和电池混合系统实现零排放运行",Ulstein,"CO2减少每年4000吨，排放减少每个安装周期25%"
"Golden Ray沉船打捞延迟","美国佐治亚州St. Simons Sound",沉船潜在石油泄漏,"切割和移除沉船，使用环境防护屏障","统一指挥部（包括美国海岸警卫队）",无紧急环境影响
"ABS与新加坡MPA续签研发合作",新加坡海域,船舶排放,"合作项目包括脱碳、AI决策工具、预测性维护等","ABS和MPA",无具体数据
"美国船厂业务转向可持续发展",美国海域,船舶排放,"转向LNG燃料、氢燃料、电动船舶等","美国船厂如Halter Marine, Eastern Shipbuilding等",无具体数据
"Kongsberg为Finnlines的RoPax船舶提供高效推进系统",波罗的海,船舶排放,"使用可控桨距螺旋桨和扭曲舵设计提高效率",Kongsberg Maritime,"效率提高高达6%，排放减少"
"新拖船使用完整Thordon推进包","美国内河和沿海水域",油污泄漏风险,"使用无油无脂轴承减少维护和污染","L&L Marine Transportation, Thordon Bearings","干船坞间隔从3年延长到8年，年运营节省15000美元"
"新加坡寻求LNG加注供应商",新加坡港,船舶燃料排放,"增加LNG加注供应商，推广LNG燃料",新加坡海事和港务局（MPA）,"预计2021年LNG加注能力达100万吨，帮助减少温室气体排放"
"Keppel交付首艘LNG运输船Avenir Advantage",东南亚海域,船舶排放,使用LNG燃料减少排放,"Keppel O&M, Avenir LNG",无具体数据
"日本JERA启动LNG加注业务",日本中部海域,船舶排放,"提供LNG加注基础设施，推广LNG燃料船舶",JERA（合资企业）,"帮助实现IMO目标，减少温室气体排放50% by 2050"
"WinGD和Alfa Laval开发减少甲烷泄漏的解决方案","全球海域（LNG燃料船舶）",LNG发动机甲烷泄漏,"使用iCER技术，包括PureCool系统，冷却和再循环排气","WinGD, Alfa Laval","甲烷泄漏减少高达50%，燃料消耗减少3%"
"重型起重船到达Golden Ray沉船现场","美国佐治亚州St. Simons Sound",沉船潜在石油泄漏,"切割沉船成八块，移除和回收，安装环境防护屏障","统一指挥部，Versabar的VB-10,000",无紧急环境问题
"马来西亚Petronas启动致命海上事故调查","马来西亚沙捞越Baram油田","船舶撞击平台，潜在泄漏","调查原因，评估平台结构安全",Petronas,无环境影响报告
"Eastern Pacific Shipping试用生物燃料",荷兰水域,船舶燃料排放,使用生物燃料（BFO）替代传统燃料,"Eastern Pacific Shipping, GoodFuels",无具体数据，但旨在减少碳足迹
"FSO Nabarima原油转移风险",委内瑞拉Gulf of Paria,浮动储油设施潜在泄漏,"检查设施，计划卸载原油到油轮","PDVSA, Eni, 特立尼达和多巴哥检查团队","无倾斜或下沉风险，但转移过程有风险"
"MOL花费940万美元用于毛里求斯石油泄漏清理",毛里求斯海岸,MV Wakashio石油泄漏,"清理红树林，建立环境恢复基金，支持当地产业",Mitsui OSK Lines Ltd,花费940万美元
"Trafigura提议对船用燃料征收碳税",全球海域,船舶碳排放,"征收每吨250-300美元碳税，用于补贴低碳燃料和研发",Trafigura,"旨在使零碳和低碳燃料更经济可行，减少排放"
"世界最大LNG燃料集装箱船交付",全球航线,船舶排放,"使用LNG燃料，减少硫氧化物99%，细颗粒物99%，氮氧化物85%","CMA CGM, CSSC船厂",排放减少数据如上
"斯里兰卡对油轮船主采取法律行动 after fire",斯里兰卡海域,油轮火灾导致石油泄漏,"法律行动，根据海洋生态系统保护法",斯里兰卡海洋环境保护局,无具体数据
"日本派团队调查Wakashio搁浅",毛里求斯海岸,MV Wakashio石油泄漏,调查事故原因,日本政府团队,无具体数据
"Greenpeace阻止油轮交付石油到瑞典炼油厂","瑞典Lysekil炼油厂附近海域",石油运输和炼油厂扩张,"抗议阻止油轮，反对炼油厂扩张",Greenpeace,"无具体数据，但旨在防止增加CO2排放"
"PDVSA和Eni寻找卸载闲置FSO原油选项",委内瑞拉东部海岸,FSO Nabarima潜在泄漏,计划使用动态定位船卸载原油,"PDVSA, Eni",无具体数据
"新加坡考虑电动港口船以减少排放",新加坡水域,港口船排放,"开发全电动港口船和岸上充电基础设施","新加坡海事和港务局（MPA），新加坡海事研究所（SMI）",旨在减少排放，支持IMO目标
"拖船使用AI路线规划器和自动驾驶",荷兰鹿特丹港,船舶排放,"使用AI路线规划器和自动驾驶优化路线，节省燃料和减少CO2排放","KOTUG International, Captain AI",节省燃料和CO2排放，但无具体数据
"国会考虑海事经济救济",美国海域,无直接,"通过MTSERA法案，提供资金用于保护、修复海事设施，覆盖运营成本","美国国会，海事管理局（MARAD）",无具体数据，但旨在支持海事行业包括环保方面
"呼吁建立南极海洋保护区","南极洲西部半岛，南大洋","商业磷虾捕捞、旅游、研究基础设施扩张、气候变化","建立海洋保护区（MPA），分区管理（一般保护区和磷虾渔业区）","Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR)，由25个国家和欧盟组成","如果所有三个MPA提案通过，将保护超过320万平方公里的南大洋；磷虾捕捞量从2000年的88,800吨增加到2019年的400,000吨；阿德利和帽带企鹅 colonies 下降超过50%"
"应用环保船体涂层减少极地船舶环境影响","北极海洋","船舶运营可能带来的污染","使用Ecospeed涂层，提高船体保护和性能，减少维护","Ark Shipping Company，Subsea Industries","涂层被Lloyd’s Register认可为耐磨冰涂层，允许减少冰带钢板厚度达1mm"
"开发氢动力渡轮以减少排放","挪威海岸","船舶温室气体排放","使用液态绿色氢（LH2）和燃料电池，结合电池，实现零排放","HySHIP项目 consortium，包括Wilhelmsen、Kongsberg Maritime等","项目旨在降低LH2用于船舶推进的发展和运营成本；每年减少25,000辆卡车的道路运输"
"使用无人机进行海洋监视以保护环境","法国地中海海域","潜在油污泄漏、非法活动","部署远程驾驶飞机系统（RPAS）进行海洋监视，包括油污检测和表征","欧洲海事安全局（EMSA）、法国海军和海关","操作从2020年9月23日开始，为期三个月；增强海域态势感知"
"防止FSO设施漏油","委内瑞拉帕里亚湾","FSO Nabarima倾斜，载有130万桶原油","通过船对船（STS）转移卸载原油","PDVSA、Eni SpA","设施已纠正倾斜，漂浮直立；计划卸载以防止泄漏"
"通过数据集成优化船舶运营以减少排放","全球海洋","船舶燃料消耗和排放","集成数据流，实时监控和优化性能，自动化报告","NAVTOR、船东和运营商","减少燃料消耗、排放、噪音和振动；提高效率"
"开发氨燃料集装箱船以减少碳排放","全球航运","船舶温室气体排放","使用氨双燃料推进发动机","Lloyd’s Register、Daewoo Shipbuilding & Marine Engineering、MAN Energy Solutions","预计2025年商业化；符合IMO 2050年减排目标"
"压载水管理系统获得批准以防止生物入侵","全球海洋","船舶压载水中的入侵物种","使用电解基ECS和ECS-HYCHLOR系统处理压载水","Techcross","系统获得USCG类型批准，确保符合环境法规"
"电子日志簿用于环境合规和数据分析","全球海洋","船舶运营排放和废物","使用LogCentral工具记录废物处理、压载操作等，自动生成报告","OneOcean","提高数据准确性，实时监控，减少错误和罚款"
"扩大LNG加注能力以减少船舶排放","新加坡海域","船舶CO2排放","增加LNG加注能力，发放更多LNG加注供应商许可证","新加坡海事及港务管理局（MPA）","到2021年，年LNG加注能力预计达到100万吨；2021年第一季度将提供首次船对船LNG加注"
"改进水下清洁以应对生物污垢","全球海洋","船体生物污垢导致燃料消耗增加和入侵物种传播","开发新技术如机器人清洁（如Jotun HullSkater）、制定标准和政策","Jotun、DNV GL、BIMCO、港口当局等","生物污垢导致世界船队能源成本约9%；新清洁技术可减少燃料消耗达15%"
"使用双燃料发动机为LNG渡轮提供动力","日本海域","船舶排放","使用LNG和柴油双燃料发动机，符合IMO Tier 3标准","Yanmar、Mitsui O.S.K. Lines、Mitsubishi Shipbuilding","发动机减少温室气体排放；预计2022年底至2023年上半年投入使用"
"集装箱船漏油后修复","美国纽约/新泽西港","船舶裂缝导致燃油泄漏","移除燃油、清洁船舶、进行潜水调查确认无额外损坏","美国海岸警卫队、新泽西环境保护部、Gallagher Marine Systems","泄漏已停止；船舶移至斯塔滕岛进行修理"
"开发LNG燃料供应系统用于船舶","全球航运","船舶排放","使用LNG燃料供应系统（FGSS），包括LNG燃料罐和气体供应单元","Mitsubishi Shipbuilding、Bureau Veritas","系统符合安全标准；简化安装和维护"
"全球贸易商倡议削减航运排放","全球海洋","船舶温室气体排放","签署Sea Cargo Charter，公开披露排放数据，与IMO 2050目标对齐","Cargill、ADM、Bunge、Shell、Total、Anglo American等17家公司","旨在推动低排放或零排放航运；增加透明度"
"开发氨燃料发动机以减少碳排放","全球航运","船舶CO2排放","开发两冲程氨燃料发动机，进行全尺寸测试","MAN Energy Solutions、Eltronic FuelTech、DTU、DNV GL","发动机开发计划于2024年；氨作为无碳燃料，燃烧不产生CO2"
"打捞搁浅船舶Golden Ray以防止污染","美国乔治亚州圣西蒙斯湾","搁浅船舶潜在泄漏","使用VB 10,000起重船切割和吊起船舶部分，运输回收","Versabar、美国海岸警卫队等响应团队","计划将船舶切成八块；预计至少八周完成；持续监测环境"
"防止也门油轮Safer漏油","也门红海","油轮Safer腐烂，载有110万桶原油","联合国团队评估和修复，计划卸载原油","联合国、也门胡塞运动","油轮至少两次进水；主要破裂可能严重危害红海生态系统；访问可能需七周"
"沙特阿美船队获得环境保护 notation","沙特海域","船舶运营排放","获得ABS ENVIRO notation，符合国际环境保护要求","沙特阿美、ABS","七艘船已获得 notation，其余在评估中；全球超过1100艘船持有ENVIRO notation"
"接收低排放组合船",全球,"船舶CO2排放","使用CLEANBU组合船设计",Klaveness Combination Carriers,"CO2排放每吨英里减少40%"
"完成LNG加注","意大利La Spezia港","船舶燃料排放","使用LNG燃料并进行加注","Costa Cruises, Carnival Corporation, Shell","SO2排放消除, 颗粒物减少95-100%, NOx减少85%, CO2减少20%"
"全电动渡轮服务","美国尼亚加拉大瀑布","渡轮发动机排放","使用全电动推进和电池系统","Maid of the Mist, ABB",零排放
"考虑船舶替代能源",全球,"船舶温室气体排放","使用氢能, 电池模块, 超级电容器等","船东和技术提供商",未提供具体数据
"船舶污水处理系统","敏感水域如阿拉斯加和不列颠哥伦比亚","船舶污水","使用膜生物反应器处理污水",Scienco/FAST,"污染物移除99.9%, BOD<5mg/L, TSS<2mg/L"
"船体监测解决方案升级",全球,"船舶燃料消耗排放","使用低摩擦涂层和监测软件",Nippon Paint Marine,燃料消耗减少
"LNG动力集装箱船创纪录装载","亚洲-欧洲航线","集装箱船排放","使用LNG燃料",CMA CGM,"SO2减少99%, 颗粒物减少99%, NO2减少85%"
"使用风帆减少碳排放",全球,"船舶CO2排放","安装翼帆辅助推进","Cargill, BAR Technologies, Deltamarin",CO2排放减少30%
"合作减少船舶和港口排放",全球,"船舶和港口温室气体排放","开发工具包, 研讨会, 培训材料, 推广岸电供应","IMO, IAPH",未提供
"交付碳中性LNG货物","中国Dapeng终端","LNG碳足迹","使用VCS排放证书抵消碳足迹",Total,碳中性
"LNG燃料数字智能船","日本建造，全球运营","船舶排放","使用LNG燃料, 数字技术监测优化性能","NYK, Shin Kurushima Toyohashi Shipbuilding","CO2减少40%, SOx减少99%, NOx减少86%"
减少航运碳排放,国际航运,船舶温室气体排放,加入Getting to Zero Coalition，推广零排放船舶,Isle of Man Ship Registry,目标到2050年减少温室气体排放至少50%
电动船环游世界,全球海洋,传统船舶排放,使用全电动船，零排放,Jimmy Cornell,零排放
防止石油泄漏,委内瑞拉海湾,浮动石油设施可能泄漏,修理和卸载原油，防止泄漏,"Eni SpA, 美国国务院",无
煤炭进口环境标准,中国港口,进口煤炭不符合环境标准,加强检验和测试，禁止不合格煤炭进口,中国海关,无
海洋响应服务,阿拉斯加南部海岸,潜在船舶事故污染,重新定位响应拖船，提供快速响应,Resolve Marine,提高响应时间，降低动员费用
扩展LNG动力船队,全球航运,船舶硫氧化物和二氧化碳排放,使用LNG燃料，减少排放,CMA CGM,目标到2022年有26艘LNG动力船
禁止北极重燃料油,北极,重燃料油使用,禁止使用和携带重燃料油,国际海事组织,从2024年7月开始禁止
订购LPG双燃料运输船,全球航运,船舶排放,使用LPG双燃料推进，减少排放,"Petredec, Jiangnan Shipyard",减少SOx 99%、CO2 15%、NOx 10%、颗粒物90%
打捞沉船防止污染,乔治亚州St. Simons Sound,沉船可能导致污染,切割和提升船段，回收,St. Simons Sound Incident Unified Command,无
评估腐烂油轮防止泄漏,也门红海,Safer油轮可能泄漏,UN团队评估和修理,"联合国, 胡塞武装",防止潜在泄漏110万桶原油
开发海上充电站,英国海域,传统船舶排放,开发海上充电站，支持电动船舶,"Turbulent Simulations, ORE Catapult等",促进 decarbonization
集装箱船消防技术,全球航运,集装箱火灾导致污染,使用Water Mist Lance和Mobile Water Monitor,Survitec,提高消防效率
未来燃料混合,全球航运,船舶温室气体排放,探索氢和生物燃料,MSC,目标到2050年碳中性
保护海军燃料资产,美国海军基地全球,燃料设施腐蚀和泄漏,采用新涂层标准，防止腐蚀,"美国海军, Master Painter Institute",提高安全性和寿命
电动渡轮设计工具,挪威海域,传统渡轮排放,使用数字孪生和真实环境数据优化设计,Havyard Design & Solutions,减少能源消耗和排放
疏浚合同用于海岸保护,德国海岸,海岸侵蚀或港口淤积,疏浚和维护，海岸防御升级,Boskalis,改善 flood protection
渔业检查船推进系统,北海和Skagerrak,船舶排放,使用电动推进系统，减少排放,"SCHOTTEL, 丹麦渔业机构",符合Tier III排放标准
风力和LNG动力船舶设计,全球航运,船舶排放,开发Vindskip设计，使用风力和LNG,"Høglund, Vindskip AS",减少CO2 63%、NOx 96%
自主混合动力货船,长岛海峡,传统货船排放,使用混合动力和自主技术，零排放,"First Harvest Navigation, Sea Machines",零排放，减少高速公路拥堵
混合电动渡轮发动机,英吉利海峡,渡轮燃料消耗,使用Wärtsilä 31发动机，混合电动系统,"Wärtsilä, P&O Ferries",减少燃料消耗40
"减少航运碳排放","全球航运","船舶温室气体排放","批准提高能效措施，减少碳强度","国际海事组织（IMO）","目标到2030年碳强度减少40%（与2008年相比）"
"使用LNG燃料减少船舶排放","鹿特丹港","传统燃料油排放","使用LNG燃料，减少硫氧化物99%，氮氧化物85%，二氧化碳20%","CMA CGM集团","排放减少百分比"
"海事排放监控和管理","全球港口（试点在Pilbara港）","船舶排放","开发Maritime Emissions Portal（MEP），使用AIS数据和船舶洞察数据估计排放，提供热图识别热点","RightShip和AUSMEPA","早期测试显示有用，但无具体数字；提到可以减少环境 impact"
"使用LNG燃料减少排放","鹿特丹港","传统燃料排放","LNG加注，减少硫氧化物99%，氮氧化物85%，二氧化碳20%","CMA CGM集团","排放减少百分比"
"混合推进减少排放","全球航运（用于散货船）","传统推进排放","集成混合推进方案，使用电池和能源管理系统，实现零排放操作","Wärtsilä","大大减少排放足迹，具体数字未提"
"使用IMO III排放法规解决方案减少排放","意大利阿马尔菲海岸","船舶发动机排放","Volvo Penta IPS与SCR后处理系统，减少NOx排放75%，燃料消耗减少25-30%","Travelmar和Volvo Penta","NOx减少75%，燃料消耗减少25-30%"
"使用生物燃料减少碳排放","富查伊拉港（阿联酋）","传统船舶燃料","混合VLSFO和生物燃料，创建符合IMO标准的燃料，减少CO2排放","Uniper Energy DMCC和Neutral Fuels","减少CO2排放，但无具体数字"
"电力推进减少燃料消耗","全球航运（邮轮）","传统推进系统","Azipod电力推进和集成电力装置，减少燃料消耗达20%","ABB","燃料消耗减少20%"
"海上鱼类养殖减少近岸污染","中国福建近海","近岸养殖污染","使用半潜式鱼类养殖场（SSFF），在开放海洋位置，减少污染","De Maas","无具体数字，但提到可持续性和减少污染"
"极地研究船用于气候变化研究","极地地区","无直接污染，但用于研究气候变化","研究气候变化，支持科学考察","英国南极调查局（BAS）","无具体数据，但增强研究能力"
"油污泄漏治理","圣克罗伊岛克劳斯泻湖（美国维尔京群岛）","拖船Cape Lookout漏油","使用围油栏和吸油材料，雇用油污清除组织进行清理","美国海岸警卫队","85%泄漏油被控制，但总量未知"
